Soil_moisture,Soil_humidity,rainfall,Temperature,Vegetation,Soil_type,Status
53,30,195.0948311,2,Grass,Loam Soil,0
76,48,227.3637009,14,Grass,Loam Soil,0
9,37,286.5083725,36,Grass,Loam Soil,0
66,56,283.9338466,1,Grass,Loam Soil,0
12,25,217.3788583,16,Grass,Loam Soil,0
29,67,267.9761948,10,Grass,Loam Soil,1
37,57,191.9535738,34,Grass,Loam Soil,1
8,67,277.9626192,28,Grass,Loam Soil,1
55,68,245.1511304,1,Grass,Loam Soil,1
9,32,245.6626799,1,Grass,Loam Soil,0
41,23,279.5451717,27,Grass,Loam Soil,1
31,33,202.3838319,8,Grass,Loam Soil,1
80,52,263.6372176,38,Grass,Loam Soil,0
7,59,182.5616319,27,Grass,Loam Soil,0
13,41,198.6730942,4,Grass,Loam Soil,1
42,36,243.5120414,18,Grass,Loam Soil,1
72,26,263.1103304,21,Grass,Loam Soil,0
21,21,269.5039162,33,Grass,Loam Soil,1
14,51,204.8001847,4,Grass,Loam Soil,1
16,51,260.8875056,19,Grass,Loam Soil,1
11,26,295.6094492,9,Grass,Loam Soil,0
7,52,192.3197536,17,Grass,Loam Soil,0
56,64,257.4914906,3,Grass,Loam Soil,1
42,55,278.0791793,19,Grass,Loam Soil,1
78,70,280.4044392,41,Grass,Loam Soil,1
16,48,185.9461429,37,Grass,Loam Soil,1
87,21,194.5766559,14,Grass,Loam Soil,0
22,55,200.9133156,22,Grass,Loam Soil,0
77,47,182.9043504,41,Grass,Loam Soil,1
45,65,195.3574542,31,Grass,Loam Soil,1
84,50,223.3671883,39,Grass,Loam Soil,0
12,43,186.7536773,3,Grass,Loam Soil,1
17,57,220.1156708,40,Grass,Loam Soil,1
12,34,231.7364957,35,Grass,Loam Soil,1
6,44,242.3170629,40,Grass,Loam Soil,0
21,48,182.6549356,4,Grass,Loam Soil,1
71,49,233.7034975,41,Grass,Loam Soil,0
17,40,230.2242223,27,Grass,Loam Soil,1
67,31,290.6793783,24,Grass,Loam Soil,0
34,63,241.2013513,24,Grass,Loam Soil,0
68,57,218.9163567,13,Grass,Loam Soil,0
52,35,248.2256491,3,Grass,Loam Soil,0
80,24,256.9964761,18,Grass,Loam Soil,0
11,29,194.2651719,11,Grass,Loam Soil,1
63,26,295.9248796,27,Grass,Loam Soil,0
88,58,287.5766935,43,Grass,Loam Soil,1
79,58,183.6222657,21,Grass,Loam Soil,0
2,30,188.413665,37,Grass,Loam Soil,1
49,61,87.75953857,33,Grass,Loam Soil,1
64,58,102.2662445,27,Grass,Loam Soil,0
71,25,66.71995467,36,Grass,Loam Soil,1
51,66,60.65171481,27,Grass,Loam Soil,1
67,60,65.43835393,26,Grass,Loam Soil,0
12,63,102.0861694,0,Grass,Loam Soil,0
67,44,105.4654703,3,Grass,Loam Soil,0
54,49,78.06639649,31,Grass,Loam Soil,1
49,31,65.27798457,33,Grass,Loam Soil,1
24,34,109.2162279,29,Grass,Loam Soil,1
27,38,94.29712821,18,Grass,Loam Soil,1
50,20,74.05474936,35,Grass,Loam Soil,1
51,32,63.87020584,26,Grass,Loam Soil,1
38,34,94.76189431,26,Grass,Loam Soil,1
23,50,72.12375573,45,Grass,Loam Soil,0
27,60,63.72358154,29,Grass,Loam Soil,1
72,21,104.1626147,39,Grass,Loam Soil,1
89,38,76.68456006,19,Grass,Loam Soil,0
36,55,65.49730729,28,Grass,Loam Soil,1
4,45,84.23613484,5,Grass,Loam Soil,1
21,48,79.74078719,37,Grass,Loam Soil,1
8,58,88.07753741,37,Grass,Loam Soil,0
5,28,80.97573281,27,Grass,Loam Soil,1
1,56,79.7532896,10,Grass,Loam Soil,1
2,43,74.51490791,40,Grass,Loam Soil,1
63,30,96.46380213,35,Grass,Loam Soil,0
17,38,102.8301942,39,Grass,Loam Soil,1
33,26,102.4852929,19,Grass,Loam Soil,0
21,67,70.43473609,6,Grass,Loam Soil,1
84,36,108.8303762,29,Grass,Loam Soil,1
35,23,65.88951188,28,Grass,Loam Soil,1
81,35,90.988051,4,Grass,Loam Soil,0
44,22,64.40866039,41,Grass,Loam Soil,1
53,68,63.03843397,6,Grass,Loam Soil,1
25,66,87.9298085,18,Grass,Loam Soil,1
22,38,107.4931917,28,Grass,Loam Soil,1
57,44,60.95197486,44,Grass,Loam Soil,1
15,67,109.7515385,25,Grass,Loam Soil,1
33,25,91.76337172,23,Grass,Loam Soil,0
20,54,94.26249353,25,Grass,Loam Soil,0
52,62,71.07562236,13,Grass,Loam Soil,0
47,56,76.72860067,2,Grass,Loam Soil,0
63,63,69.21803098,40,Grass,Loam Soil,0
48,21,101.7004306,11,Grass,Loam Soil,0
15,31,106.6213157,34,Grass,Loam Soil,1
87,37,66.29390357,37,Grass,Loam Soil,1
30,70,91.26056654,27,Grass,Loam Soil,1
89,69,109.024141,31,Grass,Loam Soil,0
28,42,99.57981207,1,Grass,Loam Soil,0
87,52,71.3195307,1,Grass,Loam Soil,0
41,67,78.34604471,23,Grass,Loam Soil,1
58,68,88.45361858,42,Grass,Loam Soil,1
73,23,62.50351892,10,Grass,Loam Soil,0
84,57,76.41312437,2,Grass,Loam Soil,0
90,64,107.3198135,19,Grass,Loam Soil,1
90,44,100.7689246,44,Grass,Loam Soil,0
29,34,107.2681929,35,Grass,Loam Soil,1
65,35,101.5952794,5,Grass,Loam Soil,0
70,37,80.72515943,0,Grass,Loam Soil,0
70,51,83.73280082,32,Grass,Loam Soil,1
6,59,89.9622014,8,Grass,Loam Soil,0
86,50,88.10234397,1,Grass,Loam Soil,0
90,22,64.77791424,17,Grass,Loam Soil,0
22,67,73.33636055,32,Grass,Loam Soil,1
7,35,83.21030571,24,Grass,Loam Soil,1
73,48,103.651438,32,Grass,Loam Soil,0
78,29,84.22969177,23,Grass,Loam Soil,0
26,22,96.59195302,26,Grass,Loam Soil,1
2,70,67.96704792,28,Grass,Loam Soil,0
48,34,83.20711308,5,Grass,Loam Soil,1
31,67,87.85092352,45,Grass,Loam Soil,1
4,56,95.71388473,7,Grass,Loam Soil,1
71,64,67.61013737,22,Grass,Loam Soil,0
74,47,97.59081274,6,Grass,Loam Soil,0
58,31,64.23845455,20,Grass,Loam Soil,0
76,70,75.82270467,3,Grass,Loam Soil,0
78,44,88.17251033,36,Grass,Loam Soil,0
5,41,104.2321615,14,Grass,Loam Soil,1
8,38,67.10225139,32,Grass,Loam Soil,0
31,40,67.72777298,6,Grass,Loam Soil,0
30,53,103.2234212,34,Grass,Loam Soil,1
58,37,107.2361366,25,Grass,Loam Soil,1
28,66,75.03247667,9,Grass,Loam Soil,1
19,32,78.16077693,16,Grass,Loam Soil,0
26,45,105.0083144,15,Grass,Loam Soil,1
51,65,62.49190812,37,Grass,Loam Soil,1
4,67,107.9124111,45,Grass,Loam Soil,0
80,63,74.52082026,25,Grass,Loam Soil,0
68,45,62.91359494,24,Grass,Loam Soil,0
8,41,69.93293255,9,Grass,Loam Soil,0
53,21,108.5054416,35,Grass,Loam Soil,1
79,66,78.96159541,32,Grass,Loam Soil,0
68,63,79.84925393,5,Grass,Loam Soil,0
76,59,93.62039175,37,Grass,Loam Soil,0
34,38,85.75692395,18,Grass,Loam Soil,1
28,66,82.34162918,0,Grass,Loam Soil,0
62,25,108.7603001,36,Grass,Loam Soil,1
88,54,70.23401597,27,Grass,Loam Soil,1
1,39,65.50861389,23,Grass,Loam Soil,1
25,48,98.73771338,0,Grass,Loam Soil,0
40,46,88.55123143,2,Grass,Loam Soil,1
77,58,79.92698081,22,Grass,Loam Soil,0
66,48,68.54932919,22,Grass,Loam Soil,1
52,36,88.51048983,21,Grass,Loam Soil,1
84,37,79.26357665,34,Grass,Loam Soil,0
26,39,92.68373702,7,Grass,Loam Soil,1
38,40,74.6631118,34,Grass,Loam Soil,1
48,68,82.61734721,24,Grass,Loam Soil,1
12,43,81.84997529,20,Grass,Loam Soil,0
51,46,81.98568791,0,Grass,Loam Soil,0
83,36,93.55280105,26,Grass,Loam Soil,1
64,57,74.58565097,3,Grass,Loam Soil,0
35,69,78.96514709,10,Grass,Loam Soil,1
81,53,80.7108745,17,Grass,Loam Soil,0
47,28,70.18185181,15,Grass,Loam Soil,0
18,38,71.58010169,40,Grass,Loam Soil,1
54,39,73.50734019,40,Grass,Loam Soil,1
60,43,82.52339655,18,Grass,Loam Soil,1
20,63,66.96980581,38,Grass,Loam Soil,1
39,20,90.46228334,16,Grass,Loam Soil,0
19,51,71.31007253,17,Grass,Loam Soil,1
61,50,85.74904898,16,Grass,Loam Soil,0
40,52,89.31050665,28,Grass,Loam Soil,1
37,30,85.52950164,4,Grass,Loam Soil,0
61,61,72.94940441,14,Grass,Loam Soil,0
70,43,72.32667516,8,Grass,Loam Soil,0
40,68,74.87445574,43,Grass,Loam Soil,1
84,33,94.70992037,6,Grass,Loam Soil,1
60,58,83.74606679,30,Grass,Loam Soil,1
5,37,78.92060234,29,Grass,Loam Soil,0
8,66,83.75937135,25,Grass,Loam Soil,1
58,52,76.57580954,44,Grass,Loam Soil,1
1,69,91.76071648,27,Grass,Loam Soil,1
65,35,76.32470713,7,Grass,Loam Soil,0
50,65,89.73119396,35,Grass,Loam Soil,0
2,65,93.35034262,15,Grass,Loam Soil,0
28,57,81.20176515,17,Grass,Loam Soil,0
56,43,81.70769297,13,Grass,Loam Soil,1
35,55,83.74879344,29,Grass,Loam Soil,0
16,57,77.5429424,8,Grass,Loam Soil,1
90,62,77.92798682,7,Grass,Loam Soil,0
33,29,82.2545577,44,Grass,Loam Soil,1
40,58,70.52056697,38,Grass,Loam Soil,1
75,56,72.78624223,15,Grass,Loam Soil,0
43,51,85.24819851,41,Grass,Loam Soil,1
87,54,85.37378769,15,Grass,Loam Soil,0
90,29,75.6317566,44,Grass,Loam Soil,0
67,30,89.61857826,27,Grass,Loam Soil,1
83,46,75.49101167,24,Grass,Loam Soil,1
85,41,86.05078037,12,Grass,Loam Soil,1
62,47,80.25064637,23,Grass,Loam Soil,0
88,46,78.26039559,38,Grass,Loam Soil,0
10,70,75.57790384,30,Grass,Loam Soil,1
20,50,72.9446671,39,Grass,Loam Soil,0
62,51,90.7760707,12,Grass,Loam Soil,0
50,28,77.81891424,26,Grass,Loam Soil,0
35,64,78.06910795,45,Grass,Loam Soil,1
83,53,85.57925437,20,Grass,Loam Soil,0
5,61,69.40619137,0,Grass,Loam Soil,0
27,57,76.32565249,12,Grass,Loam Soil,0
34,37,80.6405403,21,Grass,Loam Soil,1
32,58,80.1113384,3,Grass,Loam Soil,0
30,31,91.94595352,28,Grass,Loam Soil,0
63,20,87.51312796,8,Grass,Loam Soil,0
61,54,94.00287214,20,Grass,Loam Soil,0
60,22,88.4585692,36,Grass,Loam Soil,1
54,41,84.78344008,24,Grass,Loam Soil,1
71,24,68.97806542,26,Grass,Loam Soil,0
14,54,88.68168643,45,Grass,Loam Soil,1
39,21,65.23811143,15,Grass,Loam Soil,1
40,62,65.78042032,37,Grass,Loam Soil,1
50,41,74.63872762,1,Grass,Loam Soil,0
73,34,82.69766829,9,Grass,Loam Soil,0
37,34,69.64449182,41,Grass,Loam Soil,1
43,66,87.27444866,0,Grass,Loam Soil,0
76,44,70.87150577,29,Grass,Loam Soil,0
53,42,92.06630306,36,Grass,Loam Soil,0
71,55,79.20509212,9,Grass,Loam Soil,0
26,65,68.81405149,9,Grass,Loam Soil,1
12,36,72.85017344,41,Grass,Loam Soil,1
67,35,79.45758333,13,Grass,Loam Soil,0
17,53,65.11365631,45,Grass,Loam Soil,1
26,70,80.4986291,38,Grass,Loam Soil,1
78,34,73.64476535,39,Grass,Loam Soil,1
30,57,81.5284269,27,Grass,Loam Soil,0
20,38,88.6810311,5,Grass,Loam Soil,1
79,61,68.4951189,28,Grass,Loam Soil,0
40,42,78.44910564,17,Grass,Loam Soil,1
10,53,77.33795356,11,Grass,Loam Soil,1
84,55,94.78189594,8,Grass,Loam Soil,0
11,32,94.03659867,8,Grass,Loam Soil,0
63,38,78.69707199,28,Grass,Loam Soil,0
40,40,69.15759062,2,Grass,Loam Soil,0
33,34,90.82097601,37,Grass,Loam Soil,1
75,64,76.77888672,11,Grass,Loam Soil,0
24,57,67.9545435,30,Grass,Loam Soil,1
65,53,73.0926704,15,Grass,Loam Soil,0
35,46,69.09512477,25,Grass,Loam Soil,0
44,33,89.60982451,15,Grass,Loam Soil,1
39,45,81.78710463,1,Grass,Loam Soil,0
13,24,128.256862,35,Grass,Loam Soil,1
20,59,106.3598183,45,Grass,Loam Soil,0
82,65,109.225556,0,Grass,Loam Soil,0
72,53,140.3717815,5,Grass,Loam Soil,0
56,36,76.64128258,30,Grass,Loam Soil,1
14,26,143.0984171,44,Grass,Loam Soil,0
25,57,60.91974792,10,Grass,Loam Soil,1
13,52,104.7783947,6,Grass,Loam Soil,1
43,37,132.9801054,43,Grass,Loam Soil,0
62,66,130.0608093,1,Grass,Loam Soil,0
56,47,143.7630894,36,Grass,Loam Soil,1
60,25,87.99669731,10,Grass,Loam Soil,0
89,56,144.1567454,7,Grass,Loam Soil,0
46,23,134.3649948,23,Grass,Loam Soil,1
8,32,88.06638775,29,Grass,Loam Soil,1
13,41,69.63833855,10,Grass,Loam Soil,1
55,35,116.5206923,35,Grass,Loam Soil,1
65,44,86.21917578,27,Grass,Loam Soil,1
34,66,137.1948633,33,Grass,Loam Soil,1
55,35,108.3684316,17,Grass,Loam Soil,1
32,40,67.71768947,10,Grass,Loam Soil,1
60,47,144.7902323,38,Grass,Loam Soil,1
80,48,69.44951585,21,Grass,Loam Soil,0
22,39,121.9401369,16,Grass,Loam Soil,0
2,51,82.68554379,21,Grass,Loam Soil,1
31,26,139.7521543,8,Grass,Loam Soil,0
59,50,108.3441414,11,Grass,Loam Soil,0
27,53,96.77285817,6,Grass,Loam Soil,0
42,54,100.6711761,40,Grass,Loam Soil,0
19,68,87.0513289,31,Grass,Loam Soil,1
37,41,64.19497947,43,Grass,Loam Soil,1
17,47,105.4120514,16,Grass,Loam Soil,1
42,62,61.13872036,22,Grass,Loam Soil,1
90,46,106.158201,39,Grass,Loam Soil,1
27,35,139.0302034,9,Grass,Loam Soil,0
12,40,122.3886015,1,Grass,Loam Soil,0
26,43,129.5650601,13,Grass,Loam Soil,1
35,52,120.4509288,19,Grass,Loam Soil,0
84,36,95.17028129,45,Grass,Loam Soil,1
44,66,96.65888933,43,Grass,Loam Soil,0
90,63,87.87869161,28,Grass,Loam Soil,0
6,40,138.2362122,15,Grass,Loam Soil,1
70,53,120.6913038,23,Grass,Loam Soil,0
76,26,107.3850593,18,Grass,Loam Soil,0
7,61,108.6434544,3,Grass,Loam Soil,1
87,58,109.0193712,12,Grass,Loam Soil,0
86,61,95.84253438,33,Grass,Loam Soil,1
64,46,60.27552528,28,Grass,Loam Soil,1
15,53,100.0497183,38,Grass,Loam Soil,1
18,32,125.0972687,44,Grass,Loam Soil,1
50,29,113.334026,24,Grass,Loam Soil,0
36,50,103.2926407,11,Grass,Loam Soil,0
81,46,75.45328039,32,Grass,Loam Soil,1
66,22,62.21292186,38,Grass,Loam Soil,0
86,66,98.77794225,4,Grass,Loam Soil,0
5,69,107.6907964,0,Grass,Loam Soil,0
85,61,63.38208822,28,Grass,Loam Soil,0
14,41,87.66898664,12,Grass,Loam Soil,1
32,45,138.414764,34,Grass,Loam Soil,1
3,23,94.9533526,42,Grass,Loam Soil,1
20,46,107.7315386,19,Grass,Loam Soil,1
53,68,104.6252153,12,Grass,Loam Soil,1
9,47,141.6056722,34,Grass,Loam Soil,1
6,26,62.7089169,32,Grass,Loam Soil,1
79,47,135.3315583,8,Grass,Loam Soil,0
76,27,125.084915,39,Grass,Loam Soil,1
77,27,107.4137246,23,Grass,Loam Soil,0
63,37,63.59276673,45,Grass,Loam Soil,0
3,42,146.4727237,5,Grass,Loam Soil,0
40,20,119.6404412,3,Grass,Loam Soil,0
31,34,126.7265372,20,Grass,Loam Soil,0
90,49,134.1811718,5,Grass,Loam Soil,0
8,37,135.3378033,27,Grass,Loam Soil,1
37,22,100.118612,1,Grass,Loam Soil,0
22,65,68.51253427,4,Grass,Loam Soil,1
70,60,66.97053257,30,Grass,Loam Soil,0
84,29,69.14681022,32,Grass,Loam Soil,0
29,53,88.88796102,39,Grass,Loam Soil,0
18,33,81.83420522,15,Grass,Loam Soil,0
82,25,109.1013261,11,Grass,Loam Soil,0
86,48,81.60211243,29,Grass,Loam Soil,1
12,32,112.6616435,21,Grass,Loam Soil,0
64,32,143.8584938,11,Grass,Loam Soil,1
16,32,146.4548645,20,Grass,Loam Soil,1
47,31,116.7324324,9,Grass,Loam Soil,0
51,70,149.7441028,16,Grass,Loam Soil,1
5,23,124.6118471,5,Grass,Loam Soil,1
90,56,115.199245,19,Grass,Loam Soil,0
32,25,84.64143632,0,Grass,Loam Soil,0
16,70,129.3449326,22,Grass,Loam Soil,1
42,52,130.3900798,30,Grass,Loam Soil,0
86,50,80.15293435,32,Grass,Loam Soil,0
86,69,64.02640797,9,Grass,Loam Soil,0
80,34,139.2921004,3,Grass,Loam Soil,0
58,58,76.14153904,43,Grass,Loam Soil,1
90,40,73.36386477,37,Grass,Loam Soil,1
78,70,100.5978728,44,Grass,Loam Soil,1
38,24,84.06354115,26,Grass,Loam Soil,1
39,45,133.1914419,23,Grass,Loam Soil,1
9,31,104.2570723,8,Grass,Loam Soil,0
73,22,122.6539694,37,Grass,Loam Soil,0
77,50,163.7266551,0,Grass,Loam Soil,0
16,61,103.3301803,17,Grass,Loam Soil,0
56,55,142.3303677,37,Grass,Loam Soil,1
8,37,184.6226709,4,Grass,Loam Soil,1
27,20,149.299952,45,Grass,Loam Soil,0
29,68,147.0361442,8,Grass,Loam Soil,1
17,64,198.8298806,10,Grass,Loam Soil,1
60,48,90.05422663,43,Grass,Loam Soil,1
20,40,127.7767134,15,Grass,Loam Soil,1
82,39,108.6333046,43,Grass,Loam Soil,0
59,61,176.6165894,25,Grass,Loam Soil,0
46,56,96.36222901,13,Grass,Loam Soil,0
35,30,122.0146733,37,Grass,Loam Soil,1
67,60,120.7435664,39,Grass,Loam Soil,1
76,46,96.51524028,37,Grass,Loam Soil,1
2,59,180.382234,45,Grass,Loam Soil,1
20,21,107.4721605,30,Grass,Loam Soil,0
36,39,161.4812963,29,Grass,Loam Soil,1
86,42,121.5639121,24,Grass,Loam Soil,0
7,44,194.5921148,5,Grass,Loam Soil,0
82,64,179.2155874,34,Grass,Loam Soil,0
20,27,192.4372194,27,Grass,Loam Soil,1
65,34,114.2821387,27,Grass,Loam Soil,0
32,53,139.6483317,11,Grass,Loam Soil,0
72,32,132.7748215,7,Grass,Loam Soil,1
73,39,186.5008581,44,Grass,Loam Soil,1
8,48,157.0858232,32,Grass,Loam Soil,1
7,39,139.6702541,31,Grass,Loam Soil,1
58,60,177.3377996,17,Grass,Loam Soil,0
68,25,94.46748008,12,Grass,Loam Soil,0
65,58,161.7820226,37,Grass,Loam Soil,0
31,29,108.5090168,37,Grass,Loam Soil,1
54,44,150.8712202,42,Grass,Loam Soil,1
12,56,168.5948318,32,Grass,Loam Soil,0
78,54,197.3752649,37,Grass,Loam Soil,1
72,30,91.72084869,16,Grass,Loam Soil,0
17,69,180.716828,33,Grass,Loam Soil,1
11,23,93.12330644,41,Grass,Loam Soil,0
64,26,116.9106908,9,Grass,Loam Soil,0
72,24,159.2649827,44,Grass,Loam Soil,0
22,57,187.8961851,18,Grass,Loam Soil,0
36,31,129.0064612,38,Grass,Loam Soil,1
18,40,147.0414824,17,Grass,Loam Soil,0
84,67,163.2747473,42,Grass,Loam Soil,1
21,55,91.31256412,45,Grass,Loam Soil,1
56,33,195.5697875,20,Grass,Loam Soil,1
73,67,170.9919828,4,Grass,Loam Soil,1
79,63,145.3728801,21,Grass,Loam Soil,0
56,25,136.0456753,27,Grass,Loam Soil,1
82,59,173.1686574,43,Grass,Loam Soil,1
77,42,176.4134092,42,Grass,Loam Soil,0
79,58,129.2028653,16,Grass,Loam Soil,0
10,38,126.6738117,44,Grass,Loam Soil,1
57,28,188.4928637,6,Grass,Loam Soil,0
68,62,191.0658531,17,Grass,Loam Soil,0
46,58,162.5927723,1,Grass,Loam Soil,0
83,31,160.3337447,16,Grass,Loam Soil,0
26,60,100.546816,23,Grass,Loam Soil,0
78,45,105.0380275,24,Grass,Loam Soil,1
7,48,192.3023991,29,Grass,Loam Soil,1
48,52,148.2502786,2,Grass,Loam Soil,0
34,33,197.1144011,0,Grass,Loam Soil,0
48,36,118.3606557,3,Grass,Loam Soil,0
5,29,100.4673278,27,Grass,Loam Soil,1
15,37,191.0895109,36,Grass,Loam Soil,1
48,59,195.787103,2,Grass,Loam Soil,0
48,21,182.2688175,41,Grass,Loam Soil,1
74,25,159.8938645,24,Grass,Loam Soil,0
10,35,141.1250722,42,Grass,Loam Soil,0
23,58,100.7791633,0,Grass,Loam Soil,0
35,53,175.9303271,3,Grass,Loam Soil,0
74,42,139.8710041,3,Grass,Loam Soil,0
17,57,189.5208915,16,Grass,Loam Soil,0
37,31,137.2279662,4,Grass,Loam Soil,0
77,59,134.8596466,6,Grass,Loam Soil,0
44,53,174.5723999,2,Grass,Loam Soil,0
62,55,101.6073988,8,Grass,Loam Soil,0
70,41,153.2504506,24,Grass,Loam Soil,0
19,27,177.5764304,2,Grass,Loam Soil,1
9,66,91.95792434,44,Grass,Loam Soil,1
50,37,162.5931264,35,Grass,Loam Soil,1
65,63,155.3705624,41,Grass,Loam Soil,1
9,20,165.4113371,24,Grass,Loam Soil,1
42,35,180.9009998,10,Grass,Loam Soil,1
22,69,136.8274312,17,Grass,Loam Soil,1
57,55,159.689339,17,Grass,Loam Soil,1
25,25,178.8998611,44,Grass,Loam Soil,0
25,51,165.405354,34,Grass,Loam Soil,1
16,52,109.1821183,16,Grass,Loam Soil,0
79,27,185.2039114,45,Grass,Loam Soil,0
84,25,149.063196,7,Grass,Loam Soil,0
2,29,180.6465282,31,Grass,Loam Soil,1
33,28,96.74706956,26,Grass,Loam Soil,0
80,31,124.6028153,29,Grass,Loam Soil,0
86,36,198.1403003,34,Grass,Loam Soil,1
30,60,172.40168,24,Grass,Loam Soil,0
86,46,186.9226052,27,Grass,Loam Soil,0
1,37,173.1106982,18,Grass,Loam Soil,1
45,26,122.4564203,7,Grass,Loam Soil,1
53,20,32.67891866,6,Grass,Loam Soil,0
39,34,36.5037914,34,Grass,Loam Soil,1
2,24,36.92629678,20,Grass,Loam Soil,1
50,24,72.98016599,23,Grass,Loam Soil,0
41,60,32.05025323,5,Grass,Loam Soil,1
76,25,71.6266696,7,Grass,Loam Soil,0
11,30,73.44775287,7,Grass,Loam Soil,1
59,44,66.35634104,5,Grass,Loam Soil,0
80,33,36.94255012,43,Grass,Loam Soil,0
21,35,61.32935611,36,Grass,Loam Soil,1
37,25,53.56783314,16,Grass,Loam Soil,0
20,59,67.43488235,35,Grass,Loam Soil,1
74,43,44.94317432,7,Grass,Loam Soil,0
52,34,34.96933295,19,Grass,Loam Soil,1
17,66,74.44330654,26,Grass,Loam Soil,1
20,45,53.39249517,37,Grass,Loam Soil,1
31,22,68.04039813,2,Grass,Loam Soil,0
5,23,45.78172762,43,Grass,Loam Soil,1
61,32,74.32635105,1,Grass,Loam Soil,1
70,29,32.76742894,35,Grass,Loam Soil,1
62,39,35.1051197,28,Grass,Loam Soil,1
55,33,72.66666443,40,Grass,Loam Soil,1
65,56,48.25207759,14,Grass,Loam Soil,1
83,59,40.89732789,33,Grass,Loam Soil,0
52,47,32.55919573,7,Grass,Loam Soil,1
40,58,31.87416982,44,Grass,Loam Soil,1
87,69,53.1205277,0,Grass,Loam Soil,0
77,20,62.74803826,17,Grass,Loam Soil,0
74,50,46.19374559,7,Grass,Loam Soil,0
36,55,41.53749535,14,Grass,Loam Soil,0
3,32,58.99536268,1,Grass,Loam Soil,0
12,53,41.0550915,42,Grass,Loam Soil,1
54,33,33.84110759,26,Grass,Loam Soil,1
32,54,55.50429227,45,Grass,Loam Soil,0
28,37,57.02891698,24,Grass,Loam Soil,1
89,57,44.11622138,41,Grass,Loam Soil,1
60,59,42.24783476,21,Grass,Loam Soil,0
55,29,66.1761456,19,Grass,Loam Soil,0
85,27,72.19245835,35,Grass,Loam Soil,1
80,64,55.053805,38,Grass,Loam Soil,1
74,20,65.07981523,32,Grass,Loam Soil,0
24,66,38.48678973,5,Grass,Loam Soil,1
29,60,62.20279647,43,Grass,Loam Soil,1
49,31,70.79934452,41,Grass,Loam Soil,1
43,39,64.16167699,18,Grass,Loam Soil,1
5,62,31.83192392,28,Grass,Loam Soil,1
71,67,50.28438729,14,Grass,Loam Soil,1
49,45,58.27600682,24,Grass,Loam Soil,1
40,32,36.99362831,10,Grass,Loam Soil,0
21,28,64.25520357,23,Grass,Loam Soil,0
17,40,55.60523179,11,Grass,Loam Soil,1
13,35,48.46797044,31,Grass,Loam Soil,1
59,32,70.4713043,28,Grass,Loam Soil,1
63,35,34.03335472,38,Grass,Loam Soil,0
82,58,68.54877876,26,Grass,Loam Soil,0
75,25,52.0810886,12,Grass,Loam Soil,0
57,66,57.04826619,31,Grass,Loam Soil,1
